Title,Description,Actors,Genre,poster_url
Crime 101,"An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart th... Read all","['Chris Hemsworth', 'Mark Ruffalo', 'Barry Keoghan']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZThlN2M4ZTUtYTU3Mi00MDE5LWFhYWUtNjkxMWEwNjUwNDVhXkEyXkFqcGc@._V1_FMjpg_UY4096_.jpg
Outcome,Follows Hollywood star Reef as he is forced to confront his problems and atone for his past after being threatened by a bizarre video footage from his past.,"['Keanu Reeves', 'Cameron Diaz', 'Matt Bomer']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOTgzYWM3MzEtYTM5Yy00MDIxLWJlODctZjc4ZGI0YWExYzVhXkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg
Dhurandhar The Revenge,"Jaskirat Singh Rangi descends deeper into his alias as Hamza Ali Mazari, rising through Karachi's criminal hierarchy to claim the feared title ""Sher-e-Baloch"" while balancing loyalty, betray... Read all","['Ranveer Singh', 'Akshaye Khanna', 'Sanjay Dutt']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNDhjNThiMjQtNTc0ZS00MjAxLTgyODItNDFkZjI5YjU0MDJhXkEyXkFqcGc@._V1_FMjpg_UY1973_.jpg
One Battle After Another,"When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.","['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_FMjpg_UY2048_.jpg
Mike & Nick & Nick & Alice,"Two friends navigate the dangerous world of organized crime, testing their loyalty and survival skills as they get deeper into the criminal underworld.","['Vince Vaughn', 'James Marsden', 'Eiza González']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNmFjM2RmZjYtNmE1Mi00ZTBmLWFlOTUtZWI5YWIyMGE1NWJkXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Mercy,"Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.","['Chris Pratt', 'Rebecca Ferguson', 'Kali Reis']",[],https://m.media-amazon.com/images/M/MV5BOGNhOGZhZmMtMzdhOC00NGNlLTg3ZmYtNWI2NGZjZjk4YTg2XkEyXkFqcGc@._V1_FMjpg_UY1350_.jpg
Peaky Blinders: The Immortal Man,"During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions facing new threats as he reckons with his past.","['Cillian Murphy', 'Rebecca Ferguson', 'Tim Roth']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNTdlNTNjNjctYTg2MC00NTFlLTliNTctODFiZjZmNWRkYTVlXkEyXkFqcGc@._V1_FMjpg_UY2222_.jpg
Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","['Ranveer Singh', 'Akshaye Khanna', 'Sanjay Dutt']","['Action', 'Adventure', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMzJhMzQ0MGItMWIxOC00NzkwLWJkNDktYjgyZGMwN2U2ZDEwXkEyXkFqcGc@._V1_FMjpg_UY2000_.jpg
Zootopia 2,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.","['Ginnifer Goodwin', 'Jason Bateman', 'Ke Huy Quan']","['Action', 'Adventure']",https://m.media-amazon.com/images/M/MV5BNmIyOGNiOTMtN2MzYS00MmFhLTllZWQtMTQwMGEyZGFhYTg2XkEyXkFqcGc@._V1_FMjpg_UY3550_.jpg
Wasteman,"Follows parolee Taylor whose fresh start hopes are jeopardized by cellmate Dee's arrival. As Dee takes Taylor under his wing, a vicious attack tests their bond, forcing Taylor to choose betw... Read all","['Tom Blyth', 'David Jonsson', 'Alex Hassell']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMGQ3ZGQ3MzAtOWUxNi00NjJkLTk2ZTctMDFhOTk4NDQzYzBjXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Bugonia,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.","['Emma Stone', 'Jesse Plemons', 'Aidan Delbis']","['Crime', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BNzIzNWQxMjEtZmQ3MS00OTk2LWFlZjktZDUyYWRkM2M3NWVlXkEyXkFqcGc@._V1_FMjpg_UY11811_.jpg
The Rip,"A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on.","['Matt Damon', 'Ben Affleck', 'Steven Yeun']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZGQ0NDY2NDUtMzE1MC00YjRkLWI2NzMtNWRjYTA3OTUzOWZjXkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg
Wake Up Dead Man,Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.,"['Daniel Craig', ""Josh O'Connor"", 'Glenn Close']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BY2Q0OTA5MTEtNWU4NC00ZWFmLTg5NmYtNDFmODViYWUxZmJkXkEyXkFqcGc@._V1_FMjpg_UY2222_.jpg
