ID,Title,Description,Actors,Genre
tt33071426,The Drama,A happily-engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,"['Zendaya', 'Robert Pattinson', 'Alana Haim']",['Drama'],
tt32430579,Crime 101,"An elusive thief, eyeing his final score, encounters a disillusioned insurance broker at her own crossroads. As their paths intertwine, a relentless detective trails them hoping to thwart th... Read all","['Chris Hemsworth', 'Mark Ruffalo', 'Barry Keoghan']","['Crime', 'Drama']",
tt23724682,Outcome,Follows Hollywood star Reef as he is forced to confront his problems and atone for his past after being threatened by a bizarre video footage from his past.,"['Keanu Reeves', 'Cameron Diaz', 'Matt Bomer']","['Crime', 'Drama']",
tt27543632,The Housemaid,"Millie a struggling young woman becomes live in maid for a wealthy couple Nina and Andrew. She enters a mansion of secrets, manipulation, and escalating psychological games that pull her int... Read all","['Sydney Sweeney', 'Amanda Seyfried', 'Brandon Sklenar']",['Drama'],
tt11378946,Michael,"The story of the famous musician Michael Jackson, known as the King of Pop.","['Jaafar Jackson', 'Juliano Valdi', 'Colman Domingo']",['Drama'],
tt30144839,One Battle After Another,"When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.","['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro']","['Action', 'Crime', 'Drama']",
tt31050594,Mercy,"Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.","['Chris Pratt', 'Rebecca Ferguson', 'Kali Reis']",[],
tt30851137,The Bride!,"In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.","['Jessie Buckley', 'Christian Bale', 'Annette Bening']","['Drama', 'Horror']",
tt15574124,Peaky Blinders: The Immortal Man,"During World War II, Tommy Shelby returns to a bombed Birmingham and becomes involved in secret wartime missions facing new threats as he reckons with his past.","['Cillian Murphy', 'Rebecca Ferguson', 'Tim Roth']","['Crime', 'Drama']",
tt32897959,Wuthering Heights,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.","['Margot Robbie', 'Jacob Elordi', 'Hong Chau']",['Drama'],
tt31193180,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","['Michael B. Jordan', ""Jack O'Connell"", 'Hailee Steinfeld']","['Action', 'Drama', 'Horror']",
tt33014583,Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","['Ranveer Singh', 'Akshaye Khanna', 'Sanjay Dutt']","['Action', 'Adventure', 'Crime', 'Drama']",
tt29567915,Nuremberg,"A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring.","['Rami Malek', 'Russell Crowe', 'Michael Shannon']",['Drama'],
tt0816692,Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']","['Adventure', 'Drama', 'Sci-Fi']",
tt32916440,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.","['Timothée Chalamet', 'Gwyneth Paltrow', ""Odessa A'zion""]",['Drama'],
tt14173636,The Invite,"Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places.","['Penélope Cruz', 'Olivia Wilde', 'Seth Rogen']",['Drama'],
tt14905854,Hamnet,"In late 16th-century England, Agnes, a healer sensitive to the world around her, builds a home with William, a local tutor and aspiring playwright. As their lives fracture, they are tested b... Read all","['Jessie Buckley', 'Paul Mescal', 'Zac Wishart']",['Drama'],
tt31514146,I Swear,"John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed.","['Robert Aramayo', 'Maxine Peake', 'Somerled Campbell']",['Drama'],
tt4357198,How to Make a Killing,"Disowned at birth by his obscenely wealthy family, a blue-collar will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.","['Glen Powell', 'Margaret Qualley', 'Jessica Henwick']",['Drama'],
tt0111161,The Shawshank Redemption,A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",['Drama'],
tt32323252,Christy,"The life and the incredible career of Christy Martin, the most successful female boxer of the 1990s.","['Sydney Sweeney', 'Coleman Pedigo', 'Merritt Wever']",['Drama'],
tt29028515,Wasteman,"Follows parolee Taylor whose fresh start hopes are jeopardized by cellmate Dee's arrival. As Dee takes Taylor under his wing, a vicious attack tests their bond, forcing Taylor to choose betw... Read all","['Tom Blyth', 'David Jonsson', 'Alex Hassell']","['Crime', 'Drama']",
tt33612209,The Devil Wears Prada 2,"As Miranda Priestly nears retirement, she reunites with Andy Sachs to face off against her former assistant turned rival: Emily Charlton.","['Meryl Streep', 'Anne Hathaway', 'Emily Blunt']",['Drama'],
tt0112384,Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']","['Adventure', 'Drama']",
tt32642706,The Rip,"A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on.","['Matt Damon', 'Ben Affleck', 'Steven Yeun']","['Action', 'Crime', 'Drama']",
tt32558705,The Hunger Games: Sunrise on the Reaping,"Explores Panem 24 years before Katniss' saga, starting on the morning of the reaping for the 50th Hunger Games, where a young Haymitch Abernathy participates.","['Joseph Zada', 'Elle Fanning', 'Mckenna Grace']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",
tt0458352,The Devil Wears Prada,"With an aspiration to become a journalist, Andy, a smart but sensible young graduate, travels to New York. She starts working as an assistant to one of the city's biggest high fashion magazi... Read all","['Anne Hathaway', 'Meryl Streep', 'Adrian Grenier']",['Drama'],
