image_path,target
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2690.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2691.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2692.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2693.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2694.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.3e04c74457961dc79d8c7695a203cd1c_2695.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_702.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_703.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_704.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_705.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_706.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.5482b37d0d4af047e7c150128d902c45_707.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5803.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5804.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5805.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5806.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5807.jpg,1
classifier_dataset/train\Cardboard\0-13_jpg.rf.c10b868e4e3d336a82e4818c1f6b2f2b_5808.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.3dcc9516e5befb74f58687dd35949b47_9415.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.3dcc9516e5befb74f58687dd35949b47_9416.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.4e896aa72a89dbb990db4ab66f5da507_10591.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.4e896aa72a89dbb990db4ab66f5da507_10592.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.73605c2b719059101bf9ec093f5d3d48_6431.jpg,1
classifier_dataset/train\Cardboard\0-15_jpg.rf.73605c2b719059101bf9ec093f5d3d48_6432.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2059.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2060.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2061.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2062.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2063.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2064.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.46f0dc35435396251f779d5c8b0a59cf_2065.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3220.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3221.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3222.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3223.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3224.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3225.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.81a04cb03bfaa3a28283c4afd6da79da_3226.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10789.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10790.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10791.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10792.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10793.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10794.jpg,1
classifier_dataset/train\Cardboard\0-19_jpg.rf.c0cc9952e283b1d128c72b88a04ebc80_10795.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10535.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10536.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10537.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10538.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10551.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.1f4f41a76bbf4da1506115964237d783_10552.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6378.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6379.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6380.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6381.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6394.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.6eb61cc73b840b2215ceef63272cab55_6395.jpg,1
