epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.258,1.31129,2.80021,1.39441,0.26363,0.35542,0.23329,0.15266,1.24378,2.42547,1.48672,0.000302526,0.000302526,0.000302526 
2,259.077,1.36859,2.46636,1.441,0.2283,0.2586,0.16767,0.10317,1.48997,9.56724,1.67134,0.000599531,0.000599531,0.000599531 
3,385.703,1.42801,2.48187,1.48847,0.17175,0.33111,0.16215,0.09914,1.51896,2.72323,1.80418,0.000890537,0.000890537,0.000890537 
4,511.406,1.45396,2.49866,1.49501,0.17468,0.3152,0.11719,0.06854,1.52734,3.29889,1.73756,0.000882003,0.000882003,0.000882003 
5,638.089,1.43488,2.39283,1.47789,0.19755,0.22654,0.15682,0.08827,1.78278,3.00655,1.94883,0.000873004,0.000873004,0.000873004 
6,763.168,1.37937,2.26814,1.45799,0.21242,0.27085,0.1478,0.08732,1.5887,2.93375,1.82159,0.000864004,0.000864004,0.000864004 
7,889.511,1.37867,2.22656,1.46214,0.24388,0.29529,0.17939,0.10468,1.60036,2.70252,1.83576,0.000855005,0.000855005,0.000855005 
8,1017.26,1.3295,2.07824,1.44106,0.19102,0.32343,0.13931,0.07934,1.71476,6.03824,1.93311,0.000846006,0.000846006,0.000846006 
9,1143.39,1.30401,2.06311,1.43031,0.23093,0.28055,0.18914,0.11586,1.65629,3.68284,1.90935,0.000837007,0.000837007,0.000837007 
10,1268.85,1.27879,1.96365,1.39489,0.23429,0.25844,0.17376,0.10647,1.57718,3.03755,1.77726,0.000828008,0.000828008,0.000828008 
11,1396.32,1.23313,1.88182,1.36911,0.2552,0.24133,0.1676,0.10489,1.56808,2.98752,1.81792,0.000819009,0.000819009,0.000819009 
12,1523.11,1.21997,1.81028,1.38283,0.21533,0.3357,0.19013,0.11302,1.50146,2.58434,1.73353,0.00081001,0.00081001,0.00081001 
13,1648.13,1.18971,1.70719,1.34903,0.22215,0.26702,0.17201,0.10331,1.5415,2.90661,1.7633,0.000801011,0.000801011,0.000801011 
14,1775.71,1.20003,1.86807,1.35628,0.22563,0.25469,0.16489,0.09856,1.54534,2.94688,1.77896,0.000792012,0.000792012,0.000792012 
15,1900.32,1.18744,1.74023,1.36193,0.16374,0.22073,0.13977,0.0868,1.52766,2.77477,1.77075,0.000783013,0.000783013,0.000783013 
16,2027.11,1.16553,1.62307,1.3349,0.21243,0.33048,0.17133,0.10523,1.62105,2.92639,1.84133,0.000774013,0.000774013,0.000774013
17,526.228,1.01386,1.18671,1.17656,0.37949,0.35667,0.31693,0.20377,1.35166,2.28444,1.63502,0.000295425,0.000295425,0.000295425
